date;mom;yoy;base_algo;base_mom
2018-06-01;97.3;100.4;82.26750377;13.19016738
2018-07-01;96.7;101.8;96.68359946;12.75489185
2018-08-01;99.6;100.1;111.3790391;12.70387229
2018-09-01;100.3;97.8;100.3157122;12.7419839
2018-10-01;107;102;96.37003094;13.63392278
2018-11-01;101.5;102.3;113.5663383;13.83843162
2018-12-01;104.2;97.5;99.82007651;14.41964575
2019-01-01;92.1;96.2;121.3016791;13.28049373
2019-02-01;98.6;99.6;90.61892698;13.09456682
2019-03-01;101.2;97.9;90.70014303;13.25170162
2019-04-01;98.3;98.5;112.0898715;13.02642269
2019-05-01;97;98.9;91.12094796;12.63563001
2019-06-01;97.7;96.3;79.22360613;12.34501052
2019-07-01;97.7;97.6;94.36319307;12.06107528
2019-08-01;100;97.9;109.0400793;12.06107528
2019-09-01;103.1;99.5;99.81413368;12.43496861
2019-10-01;106.2;96.7;93.18981992;13.20593667
2019-11-01;102;96.8;109.9322155;13.4700554
2019-12-01;104.7;95.4;95.22835299;14.10314801
2020-01-01;98.9;96.9;117.5413271;13.94801338
2020-02-01;97.4;96.7;87.62850239;13.58536503
2020-03-01;96;95.3;86.43723631;13.04195043
2020-04-01;62.2;61;68.37482161;8.112093167
2020-05-01;90.2;59.4;54.12584309;7.317108036
2020-06-01;98;60.6;48.00950531;7.170765876
2020-07-01;97.5;80;75.49055446;6.991496729
2020-08-01;101.1;82.9;90.3942257;7.068403193
2020-09-01;102.9;89.4;89.23383551;7.273386885
2020-10-01;103;89.1;83.03212954;7.491588492
2020-11-01;101.1;92;101.1376382;7.573995965
2020-12-01;107.9;95.8;91.22876216;8.172341647
2021-01-01;84.6;91.8;107.9029382;6.913801033
2021-02-01;100;95.5;83.68521978;6.913801033
2021-03-01;102.3;103.7;89.63541405;7.072818457
2021-04-01;95.7;169.7;116.0320723;6.768687263
2021-05-01;92.8;173.6;93.9624636;6.28134178
2021-06-01;96.1;131.6;63.18050899;6.036369451
2021-07-01;92.7;124.3;93.83475919;5.595714481
2021-08-01;102;123.5;111.6368687;5.70762877
2021-09-01;100.1;116.5;103.9574184;5.713336399
2021-10-01;102.7;113.7;94.40753129;5.867596482
2021-11-01;102.7;115.6;116.9151098;6.026021587
2021-12-01;105.6;111.6;101.8112986;6.363478796
2022-01-01;87.2;108.1;116.6430762;5.54895351
2022-02-01;97.2;105.6;88.37159209;5.393582812
2022-03-01;100.4;104.7;93.84827851;5.415157143
2022-04-01;96;102.7;119.1649382;5.198550857
2022-05-01;90.1;97.7;91.80132694;4.683894322
